date,cases,deaths,positive,negative,tested
2020-01-22,0,0,,,
2020-01-23,0,0,,,
2020-01-24,0,0,,,
2020-01-25,0,0,,,
2020-01-26,2,0,,,
2020-01-27,2,0,,,
2020-01-28,2,0,,,
2020-01-29,2,0,,,
2020-01-30,2,0,,,
2020-01-31,3,0,,,
2020-02-01,3,0,,,
2020-02-02,3,0,,,
2020-02-03,6,0,,,
2020-02-04,6,0,,,
2020-02-05,6,0,,,
2020-02-06,6,0,,,
2020-02-07,6,0,,,
2020-02-08,6,0,,,
2020-02-09,6,0,,,
2020-02-10,6,0,,,
2020-02-11,7,0,,,
2020-02-12,7,0,,,
2020-02-13,8,0,,,
2020-02-14,8,0,,,
2020-02-15,8,0,,,
2020-02-16,8,0,,,
2020-02-17,8,0,,,
2020-02-18,8,0,,,
2020-02-19,8,0,,,
2020-02-20,8,0,,,
2020-02-21,10,0,,,
2020-02-22,10,0,,,
2020-02-23,10,0,,,
2020-02-24,10,0,,,
2020-02-25,10,0,,,
2020-02-26,10,0,,,
2020-02-27,11,0,,,
2020-02-28,11,0,,,
2020-02-29,12,0,,,
2020-03-01,12,0,,,
2020-03-02,21,0,,,
2020-03-03,25,0,,,
2020-03-04,35,1,53.0,462.0,515.0
2020-03-05,51,1,53.0,462.0,515.0
2020-03-06,59,1,60.0,462.0,522.0
2020-03-07,102,1,69.0,462.0,531.0
2020-03-08,116,1,88.0,462.0,550.0
2020-03-09,167,2,114.0,690.0,804.0
2020-03-10,179,3,133.0,690.0,823.0
2020-03-11,263,4,157.0,916.0,1073.0
2020-03-12,266,4,202.0,916.0,1118.0
2020-03-13,305,4,202.0,916.0,1118.0
2020-03-14,372,4,252.0,916.0,1168.0
2020-03-15,480,6,293.0,916.0,1209.0
2020-03-16,588,11,335.0,7981.0,8316.0
2020-03-17,741,14,483.0,7981.0,8464.0
2020-03-18,892,17,611.0,7981.0,8592.0
2020-03-19,1065,19,924.0,8787.0,9711.0
2020-03-20,1289,24,1063.0,10424.0,11487.0
2020-03-21,1524,29,1279.0,11249.0,12528.0
2020-03-22,1826,33,1536.0,11304.0,12840.0
2020-03-23,2253,40,1733.0,12567.0,26400.0
2020-03-24,2641,52,2102.0,13452.0,27654.0
2020-03-25,3176,67,2355.0,15921.0,66876.0
2020-03-26,4035,83,3006.0,17380.0,77786.0
2020-03-27,4863,100,3879.0,17380.0,78659.0
2020-03-28,5671,121,4643.0,20549.0,89592.0
2020-03-29,6352,132,5708.0,20549.0,90657.0
2020-03-30,7412,149,6447.0,20549.0,91396.0
2020-03-31,8570,182,7482.0,21772.0,86654.0
2020-04-01,9939,212,8155.0,21772.0,87327.0
2020-04-02,11170,243,9191.0,23809.0,92500.0
2020-04-03,12563,282,10701.0,24599.0,94800.0
