date,cases,deaths,positive,negative,tested
2020-01-22,0,0.0,,,
2020-01-23,0,0.0,,,
2020-01-24,0,0.0,,,
2020-01-25,0,0.0,,,
2020-01-26,2,0.0,,,
2020-01-27,2,0.0,,,
2020-01-28,2,0.0,,,
2020-01-29,2,0.0,,,
2020-01-30,2,0.0,,,
2020-01-31,3,0.0,,,
2020-02-01,3,0.0,,,
2020-02-02,6,0.0,,,
2020-02-03,7,0.0,,,
2020-02-04,7,0.0,,,
2020-02-05,8,0.0,,,
2020-02-06,8,0.0,,,
2020-02-07,8,0.0,,,
2020-02-08,8,0.0,,,
2020-02-09,8,0.0,,,
2020-02-10,8,0.0,,,
2020-02-11,8,0.0,,,
2020-02-12,3,0.0,,,
2020-02-13,8,0.0,,,
2020-02-14,10,0.0,,,
2020-02-15,10,0.0,,,
2020-02-16,10,0.0,,,
2020-02-17,10,0.0,,,
2020-02-18,10,0.0,,,
2020-02-19,10,0.0,,,
2020-02-20,11,0.0,,,
2020-02-21,11,0.0,,,
2020-02-22,12,0.0,,,
2020-02-23,6,0.0,,,
2020-02-24,6,0.0,,,
2020-02-25,6,0.0,,,
2020-02-26,6,0.0,,,
2020-02-27,6,0.0,,,
2020-02-28,6,0.0,,,
2020-02-29,6,0.0,,,
2020-03-01,12,0.0,,,
2020-03-02,179,3.0,,,
2020-03-03,263,4.0,,,
2020-03-04,266,4.0,53.0,462.0,515.0
2020-03-05,305,4.0,53.0,462.0,515.0
2020-03-06,372,4.0,60.0,462.0,522.0
2020-03-07,480,6.0,69.0,462.0,531.0
2020-03-08,588,11.0,88.0,462.0,550.0
2020-03-09,741,14.0,114.0,690.0,804.0
2020-03-10,892,17.0,133.0,690.0,823.0
2020-03-11,1065,19.0,157.0,916.0,1073.0
2020-03-12,21,0.0,202.0,916.0,1118.0
2020-03-13,1289,24.0,202.0,916.0,1118.0
2020-03-14,1524,29.0,252.0,916.0,1168.0
2020-03-15,1826,33.0,293.0,916.0,1209.0
2020-03-16,2253,40.0,335.0,7981.0,8316.0
2020-03-17,2641,52.0,483.0,7981.0,8464.0
2020-03-18,3176,67.0,611.0,7981.0,8592.0
2020-03-19,4035,83.0,924.0,8787.0,9711.0
2020-03-20,4863,100.0,1063.0,10424.0,11487.0
2020-03-21,5671,121.0,1279.0,11249.0,12528.0
2020-03-22,6352,132.0,1536.0,11304.0,12840.0
2020-03-23,25,0.0,1733.0,12567.0,26400.0
2020-03-24,7412,149.0,2102.0,13452.0,27654.0
2020-03-25,8570,182.0,2355.0,15921.0,66876.0
2020-03-26,35,1.0,3006.0,17380.0,77786.0
2020-03-27,51,1.0,3879.0,17380.0,78659.0
2020-03-28,59,1.0,4643.0,20549.0,89592.0
2020-03-29,102,1.0,5708.0,20549.0,90657.0
2020-03-30,116,1.0,6447.0,20549.0,91396.0
2020-03-31,167,2.0,7482.0,21772.0,86654.0
2020-04-01,9939,212.0,8155.0,21772.0,87327.0
2020-04-02,21376,595.0,9191.0,23809.0,92500.0
2020-04-03,22413,631.0,10701.0,24599.0,94800.0
2020-04-04,23313,676.0,12026.0,101674.0,126700.0
2020-04-05,24324,725.0,13438.0,103095.0,131533.0
2020-04-06,25705,778.0,14336.0,103095.0,132431.0
2020-04-07,27047,,15865.0,115364.0,145329.0
2020-04-08,11170,243.0,16957.0,127307.0,158864.0
2020-04-09,12563,282.0,18309.0,145191.0,177600.0
2020-04-10,13886,321.0,19472.0,145391.0,178763.0
2020-04-11,15204,351.0,19472.0,152604.0,185276.0
2020-04-12,16356,388.0,21794.0,168534.0,203528.0
2020-04-13,17538,447.0,22348.0,168534.0,204082.0
2020-04-14,19043,504.0,23338.0,178870.0,215408.0
2020-04-15,20184,545.0,24424.0,192062.0,229686.0
